AAS 27100	Introduction To Afro-American Studies
ANTH 39200	Anthropology Of Violence
ANTH 39200	Race & Religion in the U.S.
ANTH 39200	Race, Religion and Popular Culture in America
ANTH 39200	Community Engagement
ANTH 39200	Anthropology of Tourism & Global Culture
ANTH 39200	Anthropology of Reproductive Health
ANTH 39200	Cult Shaping Violence
ANTH 39200	Archaeology of Religion and Ritual
ANTH 39200	Blackness and Culture
ANTH 39200	The African Amer Experience
ANTH 39200	Ethnicity & Culture
ANTH 39200	Anthropology and Blackness
ANTH 40400	Comparative Social Organization
ANTH 40700	The Development of Contemporary Anthropological Theory
ANTH 41000	Ethnicity And Culture
ANTH 41400	Introduction To Language And Culture
ANTH 42500	Anthropological Archaeology
ANTH 43600	Human Evolution
ANTH 48200	Sexual Diversity In Global Perspectives
ANTH 50400	Problems in World Prehistory
ANTH 50500	Culture and Society
ANTH 50700	Theory of Sociocultural Anthropology
ANTH 53400	Human Osteology
ANTH 53500	Foundations of Biological Anthropology
ANTH 53600	Primate Ecology
ANTH 57500	Economic Anthropology
ANTH 59200	Human Genitals and Cultures
ANTH 59200	Developmental Anthropology
ANTH 59200	Medical Anthropology
ANTH 59200	Applied Anthropology
ARAB 23000	Arabic Literature In Translation
ARAB 23900	Arab Women Writers
ARAB 28000	Arabic Culture
ARAB 28100	Intro to Islamic Civilization and Culture
ARAB 33400	Maghrebi Literature And Culture
ASAM 24000	Introduction To Asian American Studies
ASAM 34000	Contemporary Issues In Asian American Studies
ASL 28000	American Deaf Community: Language, Culture, And Society
CHNS 24100	Introduction To The Study Of Chinese Literature
CHNS 28000	Topics in Chinese Civilization and Culture
CHNS 28100	Intro to Chinese Food Culture
CHNS 33000	Chinese Cinema
CHNS 34100	Chinese Literature I: Traditional
CHNS 34200	Chinese Literature II: Modern Chinese Literature
CHNS 49000	Intro to Chinese Food Culture
CHNS 49000	Food Culture Drinks and Snacks
CHNS 49000	Introduction to Chinese Films
CHNS 59400	Modern Chinese Theatre
CHNS 59400	Tang Dynasty Poetry
CHNS 59400	Dream Of Red Chamber
CHNS 59400	Chinese Classical Tales
CHNS 59400	Chinese Lit and Culture
CHNS 59400	Chinese Poetry & Painting
CHNS 59400	Poetry of Wang Wei/Li/Bae/Du F
CLCS 18100	Classical World Civilizations
CLCS 23000	Border Crossing Intro Comparative Literature
CLCS 23010	Survey Of Greek Literature In Translation
CLCS 23100	Survey of Latin Literature
CLCS 23300	Comparative Mythology
CLCS 23500	Classical Mythology
CLCS 23700	Gender And Sexuality In Greek And Roman Antiquity
CLCS 23800	The Tragic Vision
CLCS 23900	The Comic Vision
CLCS 28000	Culture And Society In The Age Of Pericles
CLCS 28000	Ancient Near Eastern History & Culture
CLCS 28000	Studies in Greek Warfare
CLCS 33100	Survey of Latin Literature
CLCS 33300	Comparative Mythology
CLCS 33500	Introduction To Classical Mythology
CLCS 33600	Ancient World On Screen
CLCS 33700	The Ancient Epic
CLCS 33800	The Tragic Vision
CLCS 33900	Literature and the Law
CLCS 38000	Alexander The Great and Hellenistic World
CLCS 38100	Julius Caesar: Statesman, Soldier, Citizen
CLCS 38300	The Roman Empire
CLCS 38500	Science, Medicine, & Magic in the Ancient West
CLCS 38600	Ancient Greek Religion
CLCS 38610	Ancient Greek Religion
CLCS 38700	Roman Religion
CLCS 48000	Potters and Society in Antiquity
CLCS 48100	Culture And Society In The Age Of Pericles
CLCS 48300	Republican Rome
CLCS 59300	The Classics and Black Literature
CMPL 23000	Spanish American Literature in Translation
CMPL 23000	Introduction to Comparative Literature
CMPL 23000	Introduction to Comparative and Arabic Literature
CMPL 23000	Intro to Islamic Civ & Cul
CMPL 23000	Arab-American Literature
CMPL 23000	Arabic Culture
CMPL 23000	Myths & Legends: Elves to Elvis
CMPL 23000	Italian Women Writers in Translation
CMPL 23000	Philosophy of Art
CMPL 23000	Arthurian Lit: Medieval to Mod
CMPL 23000	Russian Literature II
CMPL 26600	World Literature: From The Beginnings To 1700 A.D.
CMPL 26700	World Literature: From 1700 A.D. To The Present
COM 22400	Communicating in Global Marketplace
COM 25000	Mass Communication And Society
COM 25100	Introduction to the Electronic Mass Media
COM 31200	Rhetoric In The Western World
COM 31400	Advanced Presentational Speaking
COM 31800	Principles Of Persuasion
COM 32000	Small Group Communication
COM 32900	History Of The Mass Media
COM 35100	Mass Communication Ethics
DANC 25000	Dance Appreciation
ECON 21000	Principles Of Economics
ECON 25100	Microeconomics
ECON 25200	Macroeconomics
EDPS 23500	Learning & Motivation
ENGL 23000	Great Narrative Works
ENGL 23200	Span Am Lit in Trans
ENGL 23200	Arabic Culture
ENGL 23200	Arab Women Writers
ENGL 23200	Intro to Islamic Civ & Cul
ENGL 23200	Contemporary Foreign Women Writers
ENGL 23200	The Novels of Stephen King
ENGL 23200	Arab-American Literature
ENGL 23200	Arthurian Literature: Medieval to Mod
ENGL 23200	Vikings!
ENGL 23200	German Folk & Fairy Tales
ENGL 23200	Italian Women Writers in Translation
ENGL 23200	Pirates!
ENGL 23400	Ecological Literature
ENGL 23500	Introduction To Drama
ENGL 23700	Introduction To Poetry
ENGL 23800	Introduction To Fiction
ENGL 24000	Survey Of The British Literature: From The Beginnings Through The Neoclassical Period
ENGL 24100	Survey Of The British Literature: From The Rise Of Romanticism To The Modern Period
ENGL 25000	Great American Books
ENGL 25700	Literature Of Black America
ENGL 25800	Nobel Prize Winners In Literature
ENGL 26200	Greek And Roman Classics In Translation
ENGL 26400	The Bible As Literature
ENGL 26600	World Literature: From The Beginnings To 1700 A.D.
ENGL 26700	World Literature: From 1700 A.D. To The Present
ENGL 27600	Shakespeare On Film
ENGL 27900	American Short Story in Print & Film
ENGL 28600	The Movies
ENGL 33100	Medieval English Literature
ENGL 33300	Renaissance English Literture
ENGL 33500	Restoration And Eighteenth-Century English Literature
ENGL 33700	19th Century English Literature
ENGL 33900	Twentieth-Century British Literature
ENGL 34100	Human Env & End Of Nature
ENGL 34100	Genetic Engineering & Literature
ENGL 34100	Exploring Nature
ENGL 34100	Lit & Scientific Paradigm-Honors
ENGL 34100	The Invention of Nature
ENGL 34100	Literature, Nature and Travel
ENGL 34100	Science Literature & Climate Change-Honors
ENGL 34100	Oil & Water: Science, Literature, Disaster
ENGL 35000	Survey Of American Literature From Its Beginnings To 1865
ENGL 35100	Survey Of American Literature From 1865 To The Post-World War II Period
ENGL 35200	Native American Literature
ENGL 35400	Asian American Literature
ENGL 35800	Black Drama
ENGL 35900	Black Women Writers
ENGL 36000	Gender And Literature
ENGL 36500	Literature & Imperialism
ENGL 36600	Postcolonial Literatures
ENGL 37000	19th Century American Literature
ENGL 37100	Twentieth-Century American Literature
ENGL 37300	Science Fiction & Fantasy
ENGL 37700	Major Modern Poetry
ENGL 37900	The Short Story
ENGL 38100	The British Novel
ENGL 38200	The American Novel
ENGL 38600	History Of The Film To 1938
ENGL 38700	History of Film from 1938 to the Present
ENGL 39600	Latina/o Literture
ENGL 39600	African-American Protest Lit
ENGL 39600	Games, Narrative, & Culture
ENGL 39600	Maghrebi Literature & Culture
ENGL 39600	Latina/o Of The U S
ENGL 39600	Film Noir
ENGL 39600	Living History
ENGL 39600	Bad Film
ENGL 39600	Spirit of Italian Comedy
ENGL 41100	Octavia Butler
ENGL 41100	Mark Twain
ENGL 41100	Toni Morrison
ENGL 41100	Zora Neale Hurston
ENGL 41100	Tolkien
ENGL 41100	W.E.B. DuBois
ENGL 41100	William Faulkner
ENGL 41100	Virginia Woolf
ENGL 41100	Herman Melville
ENGL 41100	Jane Austen
ENGL 41200	Black Satire and Humor
ENGL 41200	The Literary Gothic
ENGL 41200	Black Speculative Fiction
ENGL 41200	The Modern Novel
ENGL 41200	Twenty-First Century Novel
ENGL 41200	American Women Poets
ENGL 41300	Studies in African Diaspora
ENGL 41300	Harlem Renaissance
ENGL 41300	Children's Literature in Historical Perspective
ENGL 41300	Renaissance Mind: Florence 1250-1550
ENGL 41300	Vikings and Literature
ENGL 41300	Tudors in Literature & Film
ENGL 41300	Beowulf to Shakespeare
ENGL 41300	History of the Book
ENGL 41400	The Hum & Higher Ed-Honors
ENGL 41400	Postmodern Lit & Culture
ENGL 41400	War, Terrorism, Globalization, And The Role Of Literature
ENGL 41400	Witchcraft and Wonder in Early American Literature
ENGL 41400	Literature and Disability
ENGL 41400	The Nature of Nature
ENGL 41400	Literature and Disability: Deaf & Blind Culture
ENGL 41400	Ecocriticism, Science, and Lit
ENGL 41400	The Black Male Image
ENGL 41400	19th Century New England Literary Journey
ENGL 41400	Environment Studies, Climate Change & Film
ENGL 41400	Word, Image, Media
ENGL 44100	Chaucer's Canterbury Tales
ENGL 44200	Shakespeare
ENGL 44400	Milton
ENGL 46000	Modernist Women Writers
ENGL 46000	Studies in Women's Literature
ENGL 46200	The Bible as Literature: The Old Testament
ENGL 46300	The Bible as Literature: The New Testament
ENGL 46600	Cultural Encounters
ENGL 52800	Medieval English Literature
ENGL 53100	The Rise Of The Novel
ENGL 53200	English Novel In the 19th Century
ENGL 53400	Seventeenth-Century Literature
ENGL 53500	Restoration And Early Eighteenth-Century Literature
ENGL 53800	English Drama from the Restoration to the Modern Period
ENGL 54100	Studies in Chaucer's Canterbury Tales
ENGL 54200	Shakepeare's Dramatic Art
ENGL 54300	Shakespeare in Critical Perspective
ENGL 54400	Milton
ENGL 54700	British Romanticism
ENGL 54800	Victorian Literature
ENGL 55200	Zora Neale Hurston
ENGL 55300	Colonial & Early American Literature
ENGL 55400	American Literary Culture: 1820-1860
ENGL 55700	19th Century African American Narrative
ENGL 55800	American Literature in the Later Nineteenth Century
ENGL 56000	Modern American Poetry
ENGL 57300	Tragedy
ENGL 57900	Modern British Fiction
ENGL 58300	Contemporary African American Fiction
ENGL 59200	Postcol & Globalization Stds
ENGL 59200	Postcolonial Lit Of The City
ENGL 59400	Contemporary Poetry
ENGL 59600	Games, Narrative, & Culture
ENGL 59600	The Continental Novel
ENGL 59600	Young Adult Literature
ENGL 59600	Environmental Ethics
ENGL 59600	Bad Film
ENGL 59600	ModEuroRhetorc,Poetcs,Narrativ
ENGL 59600	Stephen King's Short Stories
ENGL 59700	Contemporary Black Feminist Literature
ENTR 20000	Intro to Entrepreneurship & Innovation
FR 24100	Introduction To The Study Of French Literature
FR 33000	French Cinema
FR 34100	French Literature I: From The Middle Ages To The Enlightenment
FR 34200	French Literature II
FR 38000	French Food Culture
FR 38000	Special Topics In French Culture And Civilization: La Gastronomie
FR 39400	Special Topics In French Literature
FR 44300	Francophone Literature
FR 48000	French Civilization
FR 54100	Renaissance French Literature
FR 54900	French Literature and Film
FR 55200	French Poetry: Symbolism to the Present
FR 58100	French Culture
FR 59400	Litterature Quebecoise
FR 59400	Introduction to Francophone Literature
FR 59400	The Continental Novel
FVS 49100	Mafia And The Movies
FVS 49100	Films Of Martin Scorcese
FVS 49100	Terrorism & The Movies
GER 23000	Myth, Legend, & Folklore
GER 23000	Nature and the Environment in German Literature and Thought
GER 23000	Myths & Legends: Elves to Elvis
GER 23000	German Folk & Fairy Tales
GER 23000	Supernatural & Uncanny Ger Lit
GER 23000	German Fairy Tales
GER 24100	Introduction To The Study Of German Literature
GER 28000	Beer and Brewing in German Culture
GER 33000	German Cinema
GER 34100	German Literature I
GER 34200	German Literature II: From The 18th Century To The 21st Century
GER 48000	German Civilization
GER 54400	German Romanticism
GER 54500	German Prose from Naturalism to the Present
GER 55100	Lyric Poetry From Romanticism To The Present
GER 55400	German Drama before Naturalism
GER 55500	Drama from Naturalism to the Present
GER 58100	German Culture
GER 59400	Orientalism in German Literature
GER 59400	Special Topics in German Literature
GER 59400	Nietzsche: Literature & Values
GER 59400	The Continental Novel
HEBR 28000	Israeli Culture
HEBR 28000	Modern Israel
HEBR 28400	Ancient Near Easter History & Culture
HIST 10300	Introduction To The Medieval World
HIST 10400	Introduction To The Modern World
HIST 10500	Survey of Global World
HIST 15100	American History To 1877
HIST 15200	United States Since 1877
HIST 20100	History of Globalization
HIST 20100	Ancient Near Eastern History & Culture
HIST 20100	History of the Military Art
HIST 20100	The Making Of Modern Africa
HIST 21000	The Making of Modern Africa
HIST 21100	World Soccer & Global History
HIST 22800	English History to 1688
HIST 23800	History of Russia Medieval Times to 1861
HIST 24000	East Asia And Its Historic Tradition
HIST 24100	East Asia in the Modern World
HIST 24300	South Asian History And Civilizations
HIST 24500	Middle East History And Culture
HIST 24600	Modern Middle East and North Africa
HIST 25000	United States Relations With The Middle East And North Africa
HIST 27100	Latin American History To 1824
HIST 27200	Latin American History From 1824
HIST 30000	Eve Of Destruction: Global Crises And World Organization In The 20th Century
HIST 30200	African American Women's Intellectual Tradition
HIST 30200	Amer & Territorial Empire
HIST 30200	America 1914-1945
HIST 30200	America in the 1970's
HIST 30200	American Economic History
HIST 30200	Ancient Judaism & Early Christianity
HIST 30200	Boxing in Culture
HIST 30200	Controversies Contemp Korea
HIST 30200	Creoles,Vampires,Quadroon Balls
HIST 30200	Cultures of Beauty
HIST 30200	Death, Disease & Medicine in 20th Century American History
HIST 30200	Flight Paths-Honors
HIST 30200	Gender & Medieval Religion
HIST 30200	Gender and War in the Time of Napoleon - Honors
HIST 30200	History of Alchemy
HIST 30200	History of U.S. Agriculture
HIST 30200	History of US Presidential Debate
HIST 30200	Imperial Spain 1469-1714
HIST 30200	Introduction to Jewish Studies
HIST 30200	Kennedy Assasination
HIST 30200	Kennedy Assasination in Global Perspective
HIST 30200	Muslims in America
HIST 30200	Nationalism and Socialism
HIST 30200	Queens & Empresses
HIST 30200	Race and Boxing
HIST 30200	Religion in American History & Culture
HIST 30200	Religion in American Society & Politics 1607-1877
HIST 30200	Revolutions in the Atlantic World
HIST 30200	Sex, Race, and Science
HIST 30200	Shakespeare's Kings: The History Plays
HIST 30200	Sports in America
HIST 30200	Technology, Innovation, and the US Civil War
HIST 30200	The Bible & its Early Interpreters
HIST 30200	The US In The World
HIST 30200	Youth in Revolutionary China
HIST 30400	America in the 1960s
HIST 30505	The United States in the World 1898-Present
HIST 31005	Civil War Reconstruct 1850-77
HIST 31505	American Beauty
HIST 31700	A History of the Christian Church And The Expansion Of Christianity I
HIST 31800	A History of the Christian Church And The Expansion Of Christianity II
HIST 32000	The World of Charlemagne
HIST 32200	Monarchy: Its Rise and Fall
HIST 32300	German History
HIST 32400	Modern France
HIST 32501	Twentieth Century Europe Through Autobiography
HIST 32600	Popular Culture in Preindustrial Europe
HIST 32900	History Of Women In Modern Europe
HIST 33000	History Of The British Empire And Commonwealth, 1783 To 1960
HIST 33100	Great Figures in History
HIST 33300	Science & Technology In Western Civilization I
HIST 33400	Science & Technology in Western Civilization II
HIST 33505	Nationalism & Socialism in East Central Europe
HIST 33700	Europe in the Age of the Cold War
HIST 33900	Traditional China
HIST 34000	Modern China
HIST 34100	History of Africa South of the Sahara
HIST 34200	Africa And The West
HIST 34300	Traditional Japan
HIST 34400	Modern Japan
HIST 34901	The First World War
HIST 35000	Science And Technology In The Twentieth Century World
HIST 35100	Second World War
HIST 35400	Women In America To 1870
HIST 35600	America In Vietnam
HIST 35700	History of Southern Africa Since 1400
HIST 35900	Gender In East Asian History
HIST 36100	Violence, War And Militarism In Modern Africa
HIST 36101	Violence, War, and Militarism in Modern Africa
HIST 37100	Society, Culture, And Rock And Roll
HIST 37200	History of the American West
HIST 37500	Women in America Since 1870
HIST 37600	History of Indiana
HIST 37700	History And Culture Of Native America
HIST 37900	Gandhi: Myth, Reality and Perspective
HIST 38001	History of U.S. Agriculture
HIST 38200	American Constitutional History
HIST 38300	Recent American Constitutional History
HIST 38400	History Of Aviation
HIST 38700	History of the Space Age
HIST 39001	Jews In The Modern World: A Survey Of Modern Jewish Society, Culture, And Politics
HIST 39100	History Of Russian Popular Entertainment
HIST 39200	Caribbean History And Culture
HIST 39400	Environmental History Of The United States
HIST 39500	Medicine & Public Health in US
HIST 39500	Witches,Pirates,Heretcs-Honors
HIST 39500	Gender & War in Modern Europe
HIST 39500	Women's Voices in Early Modern Europe
HIST 39500	Pop Culture Goes to War
HIST 39500	German-Occupied Europe
HIST 39500	Politics Mod Latin America
HIST 39500	Global History of Oceans
HIST 39500	Occupied Europe
HIST 39500	Air & Space: The Technology & Culture of Flight
HIST 39500	Gender and Politics
HIST 39500	The Global Cold War
HIST 39500	Writing Global American History
HIST 39500	History of Race and Law
HIST 39500	Discover Your Roots
HIST 39500	Indian Crossroads-Colonial City
HIST 39500	Politics of Popular Culture 20th Century U.S.
HIST 39500	Misfits Castoffs Colonial Amer
HIST 39500	Children's Literature
HIST 39500	1960s America
HIST 39500	Politics and Culture in Cold War America: The 1950s
HIST 39500	History as Conspiracy
HIST 39500	History & Memory
HIST 39500	Race And The Law In The U S
HIST 39500	Magic, Science, Faith
HIST 39500	History of Human Rights
HIST 39500	Sovereign Nations of Southwest
HIST 39500	The Civil Rights Movement
HIST 39500	Cultural Studies Children's Literature
HIST 39600	The Afro-American To 1865
HIST 39800	The Afro-American since 1865
HIST 40300	Europe In Reformation
HIST 40302	Europe In The Reformation: Writing Intensive
HIST 40400	Kings And Philosophers: Europe 1618-1789
HIST 40500	The French Revolution and Napoleon
HIST 40502	The French Revolution and Napoleon
HIST 40600	Rebels And Romantics: Europe 1815-1870
HIST 40602	Rebels And Romantics: Writing Intensive
HIST 40700	Road to World War I: Europe 1870-1919
HIST 40702	Road to World War I: Europe 1870-1919: Writing Intensive
HIST 40800	Dictatorship And Democracy: Europe 1919-1945
HIST 41202	The Cultural History of the Middle Ages: Writing Intensive
HIST 41300	Europe In The Age Of Empires
HIST 41800	European Society And Culture 1450-1800
HIST 42300	Germany & France:War, Peace & Memry
HIST 42300	Divided Germany
HIST 42700	History of Spain and Portugal
HIST 42702	History of Spain and Portugal: Writing Intensive
HIST 43000	Women in African History
HIST 43800	History of Russia from Medieval Times to 1861
HIST 44000	History of Russia from 1861 to the Present
HIST 45500	Modern Iraq
HIST 45502	Modern Iraq: Writing Intensive
HIST 46000	American Colonial History
HIST 46002	American Colonial History: Writing Intensive
HIST 46100	Revolutionary Era 1763-1800
HIST 46102	Revolutionary Era 1763-1800: Writing Intensive
HIST 46300	Creation Of American Legal Culture
HIST 46500	The Civil War And Reconstruction, 1850 To 1877
HIST 46502	Civil War And Reconstruction 1850-1877: Writing Intensive
HIST 46702	Emergence Of Modern America: Writing Intensive
HIST 46800	Recent American History
HIST 46802	Recent American History: Writing Intensive
HIST 46900	Black Civil Rights Movement
HIST 46902	Black Civil Rights Movement: Writing Intensive
HIST 47200	History of Mexico
HIST 47300	History Of The South
HIST 47302	History Of The South: Writing Intensive
HIST 47500	Spanish Frontier in North America
HIST 47502	Spanish Frontier in North America: Writing Intensive
HIST 47600	The Civil War in Myth and Memory
HIST 47700	Native American Women's History
HIST 47702	Native American Women's History: Writing Intensive
HIST 47900	American Representations Of The Middle East And North Africa
HIST 47902	American Representations of the Middle East: Writing Intensive
HIST 48500	The American Presidency
HIST 48500	History of Pres Comm
HIST 48800	History Of Sexual Regulation In The United States
HIST 49200	Spain Under the Habsburgs
HIST 49200	Southern History at the Movies
HIST 49200	Late Imperial China
HIST 49200	Catholic Priests & Nuns Movies
HIST 49200	History Of Argentina
HIST 49200	Jefferson to Turner
HIST 49200	History of Argentina 1810-Present
HIST 49200	The Confederacy Hist & Myth
HIST 49200	Women and Health in America
HIST 49200	Race, Gender, Culture US - Honors
HIST 49200	Gender, Science & Technology
HIST 49200	Slavery & Freedom in Fact, Fiction, and Film
HIST 49200	Life & Career of Winston Churchill
HIST 49200	Gauchos and Cowboys on the Argentine Frontier
HIST 49200	Afro American & Amer Labor Movement
HIST 49200	18th-Century Pacific Worlds
HIST 49200	Great Trials in History
HIST 49400	Science And Technology In American Civilization
HIST 49500	American Imperialism
HIST 49500	Persistent Myths in Amer Hist
HIST 49500	Gender Revolution in Modern American
HIST 49500	Rel & Pol In Mid Amer
HIST 49500	Sectional Crisis And American Civil War
HIST 49500	Indian Removal 19th Cent US
HIST 49500	The Age of Elvis: America in the 1950's
HIST 49500	Pol & Popular Music:1945-1969
HIST 49500	Native America and Colonial Settlement
HIST 49500	1960s America
HIST 49500	Flight and Space
HIST 49500	Politics & Popular Culture of Cold War America-Honors
HIST 49500	Autobiographies & Memoirs
HIST 49500	War and Gender
HIST 49500	Interwar Jewish Experiences in E. Central Europe, Russia, and Middle East
HIST 49500	History of Madness and the Asylum
HIST 49500	Women Modern America 1950-Pres
HIST 49500	Trials and History
HIST 49500	American Foreign Relations
HIST 49500	Spain in American Southwest
HIST 49500	Chilies to Chocolate: How the Americas Changed the World
HIST 49500	American Missionaries in East Asia
HIST 50000	Studies In Medieval History
HIST 50500	Haunted Pasts: Ghosts, Ghouls And Monsters In Global Culture
HIST 51200	England Under Stuarts
HIST 51400	History of Western Thought I
HIST 51500	A History Of Western Thought II
HIST 54700	Topics in Chinese History
HIST 54800	Conflict in East Asia: Twentieth Century
HIST 57600	Problems in Latin American History
HIST 58600	United States Foreign Affairs To World War I
HIST 58700	United States Foreign Affairs: World War I To Present
HIST 59300	Twentieth-Century American Intellectual History
HIST 59400	African-American Thought and Ideology
HIST 59500	The Holocaust and Genocide
HONR 19900	Beyond Afghanistan
IDIS 49100	The Icelandic Saga
IDIS 49100	Myth, Legend, & Folklore
IDIS 49100	Muslims in America
IDIS 49100	Religion & Violence
IDIS 49100	Gender & Medieval Religion
IDIS 49100	Cultural Orphans in Latin America
IDIS 49100	Ghosts in Global Culture
IDIS 49100	Jewish Cinema
IDIS 49100	British Literature
IDIS 49100	Intro to Islamic Civ & Cul
IDIS 49100	Race & Religion in the US
IDIS 49100	Milton
IDIS 49100	Two Koreas: Pol Econ Rivalry
IDIS 59100	Seventeenth Cent Lit
IDIS 59100	The Continental Novel
ITAL 23100	Dante's Divine Comedy
ITAL 28100	The Italian Renaissance and its Impact on Western Civilization
ITAL 33000	The Italian Cinema
ITAL 33300	The Spirit of Italian Comedy
ITAL 33500	Italian-American Cinema
ITAL 34100	Italian Literature I: From The Middle Ages To The Enlightenment
ITAL 34200	Italian Literature II: From Romanticism to the Present
ITAL 39300	Mafia And The Movies
ITAL 39300	Italian Women Writers in Translation
ITAL 39300	Italian Fashion: History
ITAL 39300	The Films Of Martin Scorcese
ITAL 39300	La Dolce Vita: Italian Food
ITAL 49300	Mafia & the Movies
JPNS 24100	Introduction To The Study Of Japanese Literature
JPNS 28000	Introduction To Modern Japanese Civilization
JPNS 33000	Japanese Cinema
JPNS 34100	Japanese Literature I: Modern Japanese Literature
JPNS 48000	Japanese Civilization
JPNS 49000	Contemporary Japanese Popular Literature & Culture
JPNS 54300	Modern Japanese Popular Literature And Culture
JPNS 59400	Contemp JPNS Women Writers
JPNS 59400	Modern Japanese Fiction
JPNS 59400	The Continental Novel
JWST 33000	Introduction to Jewish Studies
LALS 25000	Introduction To Latin American And Latino Studies
LALS 49500	Humanigration: A Border Experience
LATN 34300	Roman Oratory
LATN 34400	Roman Epic
LATN 34500	Roman Elegy
LATN 34700	Roman Comedy
LATN 44300	Roman Satire
LATN 44400	Roman Philosophers
LATN 44600	Roman Historians
LC 23000	Introduction To Comparative Literature
LC 23100	Fairytale, Folktale, Fable
